applicant_id,business_name,sector,annual_revenue_inr,ebitda_inr,existing_debt_inr,months_operating,gst_registered,prior_applications
ASH-A-00000,Zavala Enterprises,Light Engineering,9000000,1286492,1386130,28,True,0
ASH-A-00001,Herrera Enterprises,Auto Components,85000000,16713441,34114701,45,True,3
ASH-A-00002,Crosby Traders,Food Processing,85000000,12772247,3103194,41,True,0
ASH-A-00003,Wilson Enterprises,Food Processing,4500000,183111,2315408,65,True,0
ASH-A-00004,Waller Traders,Logistics,18000000,2262382,2308407,132,True,1
ASH-A-00005,White Traders,Textiles,18000000,2153752,5938737,26,True,1
ASH-A-00006,Estes Industries,Logistics,9000000,1493946,4111778,25,True,2
ASH-A-00007,Baker Industries,Pharma Packaging,4500000,694590,1732501,159,True,2
ASH-A-00008,Rodriguez Works,Retail Trade,4500000,847819,2151171,141,True,2
ASH-A-00009,Hamilton Industries,Food Processing,9000000,459823,2889449,237,True,4
ASH-A-00010,Chandler Enterprises,IT Services,18000000,758876,8707943,28,True,2
ASH-A-00011,Edwards Exports,Food Processing,85000000,12108777,40174978,87,True,3
ASH-A-00012,Obrien Works,Retail Trade,9000000,1596728,1833826,196,True,4
ASH-A-00013,Dixon Enterprises,Auto Components,4500000,511883,2573925,89,False,3
ASH-A-00014,Cruz Works,IT Services,18000000,1214698,8632952,104,True,0
ASH-A-00015,Ray Traders,Pharma Packaging,4500000,981707,1849164,108,True,3
ASH-A-00016,Scott Industries,Light Engineering,85000000,12471938,10161006,30,True,3
ASH-A-00017,Fletcher Traders,Auto Components,4500000,340182,1454668,46,True,4
ASH-A-00018,Smith Industries,Logistics,9000000,1148186,4233815,116,True,1
ASH-A-00019,Frost Enterprises,Auto Components,18000000,3835063,782801,88,True,4
ASH-A-00020,Ryan Industries,Logistics,9000000,1200395,2891254,61,True,0
ASH-A-00021,Ball Industries,Auto Components,9000000,1381343,4001736,115,True,4
ASH-A-00022,Harmon Exports,Retail Trade,4500000,456288,1092062,182,True,2
ASH-A-00023,Lambert Works,Food Processing,42000000,1813885,10101232,69,True,2
ASH-A-00024,Diaz Industries,Auto Components,85000000,13098232,49826658,127,True,4
ASH-A-00025,Jones Exports,Auto Components,9000000,1491293,5275856,88,True,4
ASH-A-00026,Beck Exports,Logistics,4500000,838790,728614,150,True,0
ASH-A-00027,Rivera Exports,Food Processing,9000000,982312,867879,88,True,3
ASH-A-00028,Edwards Exports,Retail Trade,18000000,936838,4558044,55,True,2
ASH-A-00029,Charles Industries,Auto Components,85000000,16370923,3260924,69,True,0
ASH-A-00030,Cortez Traders,IT Services,9000000,1270242,4584552,87,True,2
ASH-A-00031,Evans Exports,Logistics,42000000,7910471,17631475,158,True,2
ASH-A-00032,Parker Enterprises,Logistics,85000000,11409583,27853140,69,True,3
ASH-A-00033,Ortiz Enterprises,Retail Trade,85000000,7393114,7959292,12,True,3
ASH-A-00034,Powell Traders,IT Services,1200000,215572,774524,120,True,4
ASH-A-00035,Phillips Exports,IT Services,4500000,794353,315153,76,True,1
ASH-A-00036,Martinez Exports,IT Services,85000000,7756870,32403038,88,False,0
ASH-A-00037,Fisher Traders,IT Services,1200000,127665,245909,190,True,0
ASH-A-00038,Bentley Works,Auto Components,85000000,9451726,18045228,220,True,2
ASH-A-00039,Byrd Exports,Textiles,9000000,1790880,326776,189,True,3
ASH-A-00040,Orr Enterprises,Light Engineering,1200000,80739,407768,188,True,2
ASH-A-00041,Gilbert Traders,Food Processing,9000000,1028479,4392476,132,True,0
ASH-A-00042,Turner Works,Pharma Packaging,42000000,6931074,14963062,28,True,3
ASH-A-00043,Kelley Enterprises,Retail Trade,4500000,364190,165303,180,True,0
ASH-A-00044,Smith Industries,IT Services,85000000,4048640,12099799,65,False,1
ASH-A-00045,Mitchell Traders,Auto Components,42000000,4609691,17317225,107,True,2
ASH-A-00046,Jordan Enterprises,Pharma Packaging,18000000,2502100,469521,156,True,1
ASH-A-00047,Carpenter Works,Textiles,42000000,4321324,2201129,231,True,1
ASH-A-00048,Pena Industries,Light Engineering,18000000,2457385,10707847,196,True,2
ASH-A-00049,Marshall Traders,Pharma Packaging,42000000,2888566,5503295,161,True,1
ASH-A-00050,Ramos Traders,Pharma Packaging,9000000,553051,1669483,13,True,4
ASH-A-00051,Lewis Industries,Light Engineering,18000000,1085126,4533189,33,True,1
ASH-A-00052,Kennedy Exports,Retail Trade,4500000,854673,1972053,232,True,2
ASH-A-00053,Santana Works,Textiles,9000000,1409484,1344388,233,False,2
ASH-A-00054,Flynn Exports,Textiles,4500000,431020,633038,52,True,1
ASH-A-00055,Jackson Works,Auto Components,18000000,2203545,4571826,198,True,3
ASH-A-00056,Miller Exports,Retail Trade,18000000,3295810,7804184,69,True,0
ASH-A-00057,Robertson Enterprises,Textiles,1200000,233147,738493,6,True,3
ASH-A-00058,Schultz Exports,Light Engineering,85000000,4887659,20334749,171,True,3
ASH-A-00059,Rogers Traders,Food Processing,85000000,7683673,36112834,82,True,0
ASH-A-00060,Cardenas Industries,Retail Trade,9000000,1100222,5453637,210,False,0
ASH-A-00061,Potter Enterprises,IT Services,85000000,6071093,6220418,191,True,4
ASH-A-00062,Chambers Exports,Retail Trade,85000000,7532022,38833939,128,True,1
ASH-A-00063,Walker Enterprises,Pharma Packaging,4500000,729195,87451,133,True,3
ASH-A-00064,Gonzalez Industries,Textiles,18000000,2588704,515194,22,False,2
ASH-A-00065,Johnson Traders,IT Services,85000000,6501289,14767465,177,True,1
ASH-A-00066,Sanchez Works,Textiles,4500000,986628,129060,150,True,3
ASH-A-00067,Alvarez Works,Logistics,42000000,7089704,20270958,79,True,4
ASH-A-00068,Atkinson Works,IT Services,9000000,1242237,2183614,236,True,4
ASH-A-00069,Jones Industries,Auto Components,42000000,7238073,9467305,50,True,2
ASH-A-00070,Perry Traders,Retail Trade,18000000,1198331,7870097,233,True,4
ASH-A-00071,Soto Traders,Pharma Packaging,18000000,1000083,2962443,41,True,2
ASH-A-00072,Lee Works,IT Services,85000000,14931660,47614447,48,False,2
ASH-A-00073,Horton Industries,Auto Components,42000000,5763995,22713957,46,True,4
ASH-A-00074,Snyder Industries,Pharma Packaging,4500000,246212,1225504,34,False,4
ASH-A-00075,Sanchez Exports,Food Processing,1200000,172300,198679,146,True,1
ASH-A-00076,Douglas Industries,Auto Components,85000000,10884453,17983173,220,True,4
ASH-A-00077,Smith Exports,Pharma Packaging,18000000,1429791,4108271,110,True,0
ASH-A-00078,Potter Works,Light Engineering,4500000,855822,2618560,54,True,4
ASH-A-00079,Carrillo Works,Light Engineering,1200000,245822,542051,84,True,3
ASH-A-00080,Rodriguez Industries,Food Processing,9000000,1901511,1117388,10,True,0
ASH-A-00081,Coleman Industries,Food Processing,4500000,234287,1323853,36,True,2
ASH-A-00082,Thompson Works,Textiles,85000000,14076623,16586905,105,True,2
ASH-A-00083,Rubio Exports,IT Services,18000000,2778111,6942033,179,True,0
ASH-A-00084,Holmes Traders,Auto Components,18000000,820570,8197388,226,True,4
ASH-A-00085,Williams Works,Auto Components,1200000,253010,534181,12,True,3
ASH-A-00086,Wright Works,Retail Trade,1200000,165446,64712,191,True,0
ASH-A-00087,Charles Works,Auto Components,18000000,1502066,11512802,14,True,4
ASH-A-00088,Bryant Works,Logistics,85000000,12789873,5246195,181,True,0
ASH-A-00089,Solis Works,Food Processing,42000000,5475668,12644813,184,True,4
ASH-A-00090,Contreras Enterprises,Retail Trade,85000000,12360614,38576465,131,True,3
ASH-A-00091,Travis Industries,Textiles,9000000,830264,1938781,34,True,0
ASH-A-00092,Larson Works,IT Services,4500000,381724,1132863,196,True,1
ASH-A-00093,Dodson Enterprises,Retail Trade,18000000,1311876,3978823,180,True,3
ASH-A-00094,Vance Works,Food Processing,4500000,262245,407175,195,False,4
ASH-A-00095,Salazar Enterprises,IT Services,42000000,5430861,21685409,116,True,4
ASH-A-00096,Ball Traders,Food Processing,85000000,9804956,1852911,117,True,3
ASH-A-00097,Wagner Enterprises,Food Processing,1200000,104759,739956,97,True,4
ASH-A-00098,Rivas Industries,Food Processing,4500000,199528,252654,53,True,3
ASH-A-00099,Kelley Exports,Auto Components,85000000,11927737,26402855,208,True,4
ASH-A-00100,Merritt Enterprises,Textiles,18000000,1472484,1724430,40,True,3
ASH-A-00101,Manning Traders,Textiles,1200000,158202,9489,140,True,4
ASH-A-00102,Wells Enterprises,Retail Trade,42000000,8335707,3741786,68,True,1
ASH-A-00103,Green Works,IT Services,4500000,567774,289712,105,True,4
ASH-A-00104,Wright Industries,Light Engineering,1200000,233294,113414,200,True,4
ASH-A-00105,Walsh Exports,Light Engineering,1200000,101366,587662,220,True,1
ASH-A-00106,Cannon Works,Textiles,9000000,1578840,251017,88,True,0
ASH-A-00107,Boyd Traders,Pharma Packaging,4500000,544360,2446389,63,True,1
ASH-A-00108,Sims Exports,Pharma Packaging,18000000,2813172,8838532,46,True,4
ASH-A-00109,Hill Works,Food Processing,9000000,1061041,180846,22,True,1
