statement_id,applicant_id,month,inflow_inr,outflow_inr,closing_balance_inr,bounced_instruments,avg_daily_balance_inr
ASH-S-000000,ASH-A-00302,2026-07,6223103,530606,1484409,0,285829
ASH-S-000001,ASH-A-00024,2025-02,6667916,4889248,4768055,0,1285330
ASH-S-000002,ASH-A-00006,2025-07,2068393,110402,1877286,0,141838
ASH-S-000003,ASH-A-00109,2026-01,845160,4828275,90305,0,1267837
ASH-S-000004,ASH-A-00320,2026-05,1653623,3774163,2375373,1,740909
ASH-S-000005,ASH-A-00279,2025-11,5886731,4147449,2685660,0,1438024
ASH-S-000006,ASH-A-00075,2025-03,6142379,6568257,142753,0,1719418
ASH-S-000007,ASH-A-00249,2026-04,298912,382484,2886849,0,2306373
ASH-S-000008,ASH-A-00030,2025-04,6570389,7429095,3555565,0,1023494
ASH-S-000009,ASH-A-00245,2026-03,4560454,2162292,1377072,0,2401910
ASH-S-000010,ASH-A-00147,2025-10,6370929,3835348,-277940,0,2068465
ASH-S-000011,ASH-A-00234,2025-11,2716967,5666514,2302232,0,683941
ASH-S-000012,ASH-A-00324,2025-11,265458,1282698,3687515,0,1601666
ASH-S-000013,ASH-A-00160,2025-08,2261170,6622626,1090525,0,1936773
ASH-S-000014,ASH-A-00275,2025-08,3163153,1085898,4815834,0,2412003
ASH-S-000015,ASH-A-00076,2025-07,3793173,5222605,2326880,1,302527
ASH-S-000016,ASH-A-00007,2025-03,748300,7135872,-60812,0,33566
ASH-S-000017,ASH-A-00326,2026-04,7025843,4309280,1588228,0,499258
ASH-S-000018,ASH-A-00045,2025-12,6666434,7510288,1395024,0,37242
ASH-S-000019,ASH-A-00144,2026-07,5692175,7719445,2352491,0,2369601
ASH-S-000020,ASH-A-00284,2026-04,7649000,5483698,4294543,1,377953
ASH-S-000021,ASH-A-00087,2026-05,7185112,5289204,954983,0,978654
ASH-S-000022,ASH-A-00123,2025-12,3086157,202126,736696,0,1493622
ASH-S-000023,ASH-A-00266,2025-07,1384221,4352190,3425064,2,113448
ASH-S-000024,ASH-A-00305,2025-05,98410,7524479,510784,0,1453898
ASH-S-000025,ASH-A-00082,2025-08,182663,3095544,1135825,0,715685
ASH-S-000026,ASH-A-00050,2026-06,2947507,1192884,2507585,1,2209631
ASH-S-000027,ASH-A-00063,2026-03,8281256,131738,2620583,0,1829215
ASH-S-000028,ASH-A-00054,2025-05,8521169,7383766,1323653,0,1403833
ASH-S-000029,ASH-A-00281,2026-04,1448232,5310385,4322908,0,1983190
ASH-S-000030,ASH-A-00085,2026-07,1660352,6464194,4214174,0,221157
ASH-S-000031,ASH-A-00173,2025-08,8112095,3682993,113452,0,1584699
ASH-S-000032,ASH-A-00311,2025-06,8611555,8106216,996013,0,1168093
ASH-S-000033,ASH-A-00169,2025-10,976246,1670184,3861020,0,2009726
ASH-S-000034,ASH-A-00083,2025-02,985539,3040174,4173799,0,1245413
ASH-S-000035,ASH-A-00274,2025-05,3915916,2329458,854320,0,381953
ASH-S-000036,ASH-A-00142,2025-09,8255112,4736835,1323540,0,2211592
