applicant_id,bureau_score,enquiries_last_6m,active_trade_lines,dpd_30_last_12m,dpd_90_ever,written_off_amount_inr,report_pulled_on
ASH-A-00000,374,5,0,0,False,900000,2026-06-23
ASH-A-00001,500,9,7,0,False,0,2026-07-13
ASH-A-00002,677,3,10,0,True,0,2026-06-15
ASH-A-00003,753,9,4,0,True,0,2026-07-28
ASH-A-00004,443,6,12,1,False,150000,2026-05-16
ASH-A-00005,652,0,8,1,False,0,2026-07-12
ASH-A-00006,785,6,0,3,False,150000,2026-05-09
ASH-A-00007,569,0,6,2,False,0,2026-05-09
ASH-A-00008,499,3,3,0,True,0,2026-06-02
ASH-A-00009,666,2,3,0,False,0,2026-06-17
ASH-A-00010,857,1,7,0,False,0,2026-07-08
ASH-A-00011,404,1,9,0,False,0,2026-07-15
ASH-A-00012,732,3,8,3,False,0,2026-06-20
ASH-A-00013,859,9,5,0,False,0,2026-05-10
ASH-A-00014,858,4,4,0,True,0,2026-07-26
ASH-A-00015,892,5,0,0,False,150000,2026-05-07
ASH-A-00016,396,6,4,0,True,0,2026-05-23
ASH-A-00017,556,1,6,0,False,0,2026-07-30
ASH-A-00018,774,7,10,0,False,0,2026-05-04
ASH-A-00019,465,1,7,2,False,0,2026-05-13
ASH-A-00020,498,4,8,2,False,150000,2026-06-25
ASH-A-00021,648,7,12,1,False,0,2026-07-15
ASH-A-00022,736,3,8,0,False,150000,2026-05-20
ASH-A-00023,856,5,6,0,False,0,2026-07-14
ASH-A-00024,323,7,12,1,False,900000,2026-06-13
ASH-A-00025,712,1,7,0,True,0,2026-05-26
ASH-A-00026,714,8,12,1,False,0,2026-06-07
ASH-A-00027,302,6,8,0,False,0,2026-05-20
ASH-A-00028,529,5,5,0,True,0,2026-07-08
ASH-A-00029,674,0,12,0,False,0,2026-07-09
ASH-A-00030,571,6,9,0,True,900000,2026-07-17
ASH-A-00031,478,1,9,0,False,0,2026-07-15
ASH-A-00032,340,8,9,0,False,0,2026-06-14
ASH-A-00033,854,4,12,0,True,0,2026-05-15
ASH-A-00034,338,5,12,0,False,900000,2026-05-25
ASH-A-00035,855,6,11,0,False,150000,2026-05-31
ASH-A-00036,433,4,9,0,False,150000,2026-06-26
ASH-A-00037,367,1,4,0,False,150000,2026-06-16
ASH-A-00038,336,7,1,0,False,150000,2026-06-11
ASH-A-00039,758,6,7,0,False,900000,2026-05-21
ASH-A-00040,326,9,7,0,False,150000,2026-05-09
ASH-A-00041,772,7,9,0,False,0,2026-07-25
ASH-A-00042,888,6,8,0,False,0,2026-06-03
ASH-A-00043,828,9,3,0,False,900000,2026-06-24
ASH-A-00044,625,8,0,0,False,900000,2026-07-19
ASH-A-00045,543,5,0,0,False,900000,2026-07-29
ASH-A-00046,669,6,6,1,False,0,2026-06-27
ASH-A-00047,339,0,10,0,False,150000,2026-05-20
ASH-A-00048,650,5,4,0,False,0,2026-06-17
ASH-A-00049,703,3,2,0,False,0,2026-05-21
ASH-A-00050,552,2,10,0,False,0,2026-07-19
ASH-A-00051,700,3,3,0,False,150000,2026-05-13
ASH-A-00052,648,6,2,0,False,0,2026-05-21
ASH-A-00053,845,5,11,3,False,0,2026-06-10
ASH-A-00054,471,9,2,0,False,900000,2026-05-24
ASH-A-00055,651,8,9,1,False,0,2026-07-25
ASH-A-00056,816,1,8,1,False,0,2026-07-05
ASH-A-00057,801,8,4,2,False,150000,2026-06-03
ASH-A-00058,316,9,5,1,False,0,2026-07-22
ASH-A-00059,567,3,0,0,False,0,2026-07-27
ASH-A-00060,824,9,1,2,False,0,2026-06-30
ASH-A-00061,795,2,0,0,False,0,2026-06-28
ASH-A-00062,541,4,12,0,False,0,2026-06-10
ASH-A-00063,614,1,5,0,False,0,2026-05-23
ASH-A-00064,409,3,11,0,False,0,2026-07-21
ASH-A-00065,729,7,11,1,False,0,2026-07-19
ASH-A-00066,736,7,5,0,False,0,2026-07-24
ASH-A-00067,453,1,4,2,False,0,2026-07-17
ASH-A-00068,662,2,7,0,False,0,2026-07-09
ASH-A-00069,836,7,8,0,False,0,2026-07-15
ASH-A-00070,789,0,4,0,False,150000,2026-06-23
ASH-A-00071,871,5,6,0,False,0,2026-06-26
ASH-A-00072,738,6,0,2,False,150000,2026-06-21
ASH-A-00073,725,7,8,0,False,0,2026-05-16
ASH-A-00074,804,5,8,0,False,900000,2026-05-30
ASH-A-00075,854,5,11,0,False,0,2026-07-18
ASH-A-00076,594,2,8,0,False,0,2026-05-11
ASH-A-00077,738,5,0,0,False,0,2026-05-07
ASH-A-00078,459,4,5,0,False,0,2026-05-10
ASH-A-00079,542,2,10,1,False,0,2026-07-19
ASH-A-00080,633,5,1,0,False,0,2026-05-06
ASH-A-00081,834,3,10,0,False,0,2026-07-08
ASH-A-00082,402,4,4,0,False,150000,2026-06-09
ASH-A-00083,695,9,9,3,False,0,2026-07-24
ASH-A-00084,527,6,7,2,False,900000,2026-05-31
ASH-A-00085,723,2,11,0,False,150000,2026-07-14
ASH-A-00086,471,5,4,0,False,150000,2026-05-24
ASH-A-00087,477,8,12,1,False,0,2026-07-23
ASH-A-00088,364,2,3,0,False,900000,2026-05-04
ASH-A-00089,612,9,1,0,False,0,2026-06-22
ASH-A-00090,550,6,4,0,False,150000,2026-06-17
ASH-A-00091,653,0,8,0,False,150000,2026-07-10
ASH-A-00092,389,7,2,1,False,0,2026-06-17
ASH-A-00093,628,4,11,3,False,0,2026-06-19
ASH-A-00094,438,6,2,1,False,0,2026-05-17
ASH-A-00095,392,8,12,1,False,0,2026-07-29
ASH-A-00096,867,3,11,0,True,0,2026-07-12
ASH-A-00097,750,1,10,0,True,900000,2026-05-24
ASH-A-00098,503,7,12,1,False,150000,2026-07-06
ASH-A-00099,896,2,0,0,False,150000,2026-06-27
ASH-A-00100,519,6,2,2,False,0,2026-07-06
ASH-A-00101,899,1,10,0,False,0,2026-05-26
ASH-A-00102,470,5,10,0,False,150000,2026-07-25
ASH-A-00103,853,3,5,0,False,0,2026-05-15
ASH-A-00104,800,7,11,1,False,0,2026-07-20
ASH-A-00105,702,4,3,2,False,0,2026-07-26
ASH-A-00106,559,9,12,2,False,900000,2026-07-12
ASH-A-00107,419,2,7,0,False,150000,2026-06-14
ASH-A-00108,302,2,9,0,True,0,2026-06-04
ASH-A-00109,552,9,7,1,False,900000,2026-05-14
ASH-A-00110,519,7,11,2,False,150000,2026-06-26
ASH-A-00111,831,3,2,0,False,0,2026-05-16
ASH-A-00112,673,6,11,1,False,150000,2026-05-21
ASH-A-00113,477,0,0,0,False,150000,2026-07-21
ASH-A-00114,776,8,8,0,False,0,2026-07-08
ASH-A-00115,515,5,10,0,False,900000,2026-06-24
ASH-A-00116,703,0,12,1,False,0,2026-05-22
ASH-A-00117,317,4,4,0,False,0,2026-07-21
ASH-A-00118,886,9,5,0,True,0,2026-05-23
ASH-A-00119,884,1,0,1,False,0,2026-07-18
ASH-A-00120,900,5,10,0,False,0,2026-05-30
ASH-A-00121,823,3,0,0,False,0,2026-06-28
ASH-A-00122,725,7,1,0,False,0,2026-07-01
ASH-A-00123,417,2,6,0,False,0,2026-05-14
ASH-A-00124,512,2,1,1,False,0,2026-06-12
ASH-A-00125,777,2,0,0,False,900000,2026-05-12
ASH-A-00126,418,1,6,0,False,0,2026-05-07
ASH-A-00127,423,9,11,0,False,0,2026-07-06
ASH-A-00128,841,7,3,0,False,900000,2026-05-24
ASH-A-00129,337,4,9,0,False,0,2026-06-24
ASH-A-00130,313,2,7,0,False,0,2026-07-17
ASH-A-00131,833,1,2,1,False,0,2026-05-12
ASH-A-00132,591,0,12,0,False,150000,2026-05-17
ASH-A-00133,645,0,9,0,False,0,2026-06-30
ASH-A-00134,593,6,2,0,False,0,2026-07-10
ASH-A-00135,675,5,11,0,False,900000,2026-07-13
ASH-A-00136,301,3,11,0,False,0,2026-07-18
ASH-A-00137,897,7,0,1,False,0,2026-05-14
ASH-A-00138,445,4,3,0,False,0,2026-06-24
ASH-A-00139,675,6,4,1,False,0,2026-05-28
ASH-A-00140,376,2,0,0,False,0,2026-06-13
ASH-A-00141,426,5,9,0,False,0,2026-05-30
ASH-A-00142,361,2,9,0,False,900000,2026-05-11
ASH-A-00143,741,6,9,0,False,0,2026-07-25
ASH-A-00144,588,8,10,2,False,0,2026-05-28
ASH-A-00145,462,0,3,1,False,0,2026-05-27
ASH-A-00146,360,1,0,0,False,0,2026-06-20
ASH-A-00147,877,7,5,0,False,150000,2026-05-09
ASH-A-00148,679,7,9,0,False,0,2026-05-31
ASH-A-00149,735,2,3,0,False,0,2026-07-23
ASH-A-00150,557,7,6,0,True,0,2026-07-17
