decision_id,applicant_id,decided_on,outcome,internal_grade,approved_amount_inr,reason_code,human_signatory
ASH-D-00000,ASH-A-00037,2025-07-05,declined,A1,1500000,ADVERSE_BUREAU,ASH-U-002
ASH-D-00001,ASH-A-00168,2026-02-12,declined,B1,500000,APPROVED_STANDARD,ASH-U-014
ASH-D-00002,ASH-A-00225,2025-01-25,declined,A2,500000,THIN_FILE,ASH-U-009
ASH-D-00003,ASH-A-00117,2026-05-06,declined,A1,1500000,SECTOR_CAP,ASH-U-012
ASH-D-00004,ASH-A-00046,2025-12-25,approved,B1,0,THIN_FILE,ASH-U-012
ASH-D-00005,ASH-A-00311,2026-04-27,approved,C1,1500000,DSCR_BELOW_FLOOR,ASH-U-005
ASH-D-00006,ASH-A-00283,2024-12-15,declined,B2,0,THIN_FILE,ASH-U-009
ASH-D-00007,ASH-A-00067,2025-08-02,approved,C2,3000000,DOC_MISMATCH,ASH-U-015
ASH-D-00008,ASH-A-00094,2025-11-15,declined,A2,1500000,ADVERSE_BUREAU,ASH-U-019
ASH-D-00009,ASH-A-00012,2026-03-05,approved,C1,500000,DSCR_BELOW_FLOOR,ASH-U-017
ASH-D-00010,ASH-A-00103,2025-12-16,approved,D1,7500000,ADVERSE_BUREAU,ASH-U-008
ASH-D-00011,ASH-A-00043,2026-06-21,approved,B1,7500000,DOC_MISMATCH,ASH-U-016
ASH-D-00012,ASH-A-00060,2026-01-10,declined,C2,0,DOC_MISMATCH,ASH-U-005
ASH-D-00013,ASH-A-00349,2025-10-29,approved,D2,7500000,THIN_FILE,ASH-U-013
ASH-D-00014,ASH-A-00173,2026-04-21,approved,D2,500000,THIN_FILE,ASH-U-017
ASH-D-00015,ASH-A-00057,2026-05-17,approved,A2,0,APPROVED_STANDARD,ASH-U-017
ASH-D-00016,ASH-A-00250,2025-01-25,declined,B1,500000,DSCR_BELOW_FLOOR,ASH-U-019
ASH-D-00017,ASH-A-00281,2025-02-08,approved,A2,1500000,DOC_MISMATCH,ASH-U-007
ASH-D-00018,ASH-A-00347,2025-07-25,approved,D2,0,DSCR_BELOW_FLOOR,ASH-U-012
ASH-D-00019,ASH-A-00070,2025-10-14,approved,D2,3000000,DSCR_BELOW_FLOOR,ASH-U-015
ASH-D-00020,ASH-A-00329,2025-03-16,approved,A2,1500000,THIN_FILE,ASH-U-002
ASH-D-00021,ASH-A-00130,2025-03-02,approved,A1,500000,DSCR_BELOW_FLOOR,ASH-U-005
